0|1|2|3|4|5|6|7|8|source_page|9|10|council|province|district|constituency
workers/|||||||||174|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
drivers/CBVs|||||||||174|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
in First Aid|||||||||174|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Promotion|||||||||174|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective|To provide improved access to clean water and sanitation by 2034||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Improve access to clean and safe water sources||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Policy and coordination||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Activities|Locatio|Target|Target|Target|Target|Target|Output|Source of|175|Frequen|Responsible|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|n (by|Year 1|Year 2|Year 3|Year 4|Year 5|Indicator|Information|175|cy|Agency|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|priority||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|)||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Senstization|District|12|12|12|12|12|"Number
of
sensitisati
on
meetings
undertake
n"|"Activity
Reports"|175|"Quarterl
y"|"DWRD /LA/
PARTNERS"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
on|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
management|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of water|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
points|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Water infrastructure development and maintenance||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Construction||0|0|1|0|0|"Presence
of water
surface
infrastruct
ure"|"Activity
Reports"|175|Annually|"DWRD
/PARTNERS"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of Surface|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
water|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
infrastructure|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
(Weirs and|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Dams etc)|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Drilling of|District|15|15|15|15|15|"Number
of
boreholes
drilled"|"Activity
reports"|175|"Bi-
annual"|"DWRD /LA/
PARTNERS"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Boreholes|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Develop a|"Rufunsa
Townsh
ip"|0|1|1|1|1|"Number
of water
systems
developed"|"Activity
Reports"|175|"Bi-
annual"|"DWRD /LA/
PARTNERS"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
water pipe|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
network|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
system|||||||||175|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Maintenance of water points||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Procurement|District|12|12|12|12|12|"Number
of
complete
tool kits
requested
to be
procured"|"Internal
memorandum"|176|Annually|"DWRD /LA/
PARTNERS"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of tool kits for|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Indian Mark II|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Water resources assessment and quantification||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Conduct field|District|12|12|12|12|12|"Number
of field
appraisals
conducted"|"Field
appraisal
report"|176|"Quarterl
y"|LA|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
appraisals for|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
rehabilitation|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of broken|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
down|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
boreholes|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Water quality testing||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Procurement|District|12|12|12|12|12|"Number
of water
quality
monitorin
g
activities
undertake
n"|"Monitoring
report"|176|Annually|"DWRD /LA/
PARTNERS"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of mobile|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
water testing|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
kits|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Conduct|District|12|12|12|12|12|"Number
of
programs
undertake
n"|"Monitoring
report"|176|"Quarterl
y"|DWRD /LA|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
water quality|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
monitoring|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
for existing|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
water points|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
in the District|||||||||176|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Training & Capacity Building||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Train and re-|District|12|12|12|12|12|"number of
V -Washe
trainings
undertake
n"|"V - Washe
training report"|177|"Quarterl
y"|"DWRD /LA/
PARTNERS"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
orient V-|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Washe|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
committee|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
members|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Increase access to improved sanitation services||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Sanitation and Personal Hygiene Promotion||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Activities|Locatio|Target|Target|Target|Target|Target|Output|Source of|177|Frequen|Responsible|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|n (by|Year 1|Year 2|Year 3|Year 4|Year 5|Indicator|Information|177|cy|Agency|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|priority||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|)||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
CLTS||4|4|4|4|4|"Number
of training
undertake
n"|"Training
reports"|177|"Quarterl
y"|"LA / DHO/
Partners"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Community|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
meetings|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
conduct||4|4|4|4|4|"Number
of
sensitizati
on
meeting
held"|"Sensitization
report"|177|Annually|"LA / DHO/
Partners"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
quarterly|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
backstopping|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
visits to|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
sensitized|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
triggered|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
villages|||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective|To reduce poverty and inequality levels by 2034||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Enhance social Protection of poor and vulnerable people||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Social Cash Transfer||||||||177|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Awareness|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
raising|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
(Wards)|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Disability|District|500|600|700|800|900|"Number
of
disabled
persons
certified"|"Activity
Reports"|178|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Certification|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
listing of|District|1500|2000|2500|3000|3500|"Number
of
beneficiat
ed listed"|"Activity
Reports"|178|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
potential|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
beneficiaries|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
first|District|1500|2000|2500|3000|3500|"Number
of
beneficiari
es
validated"|"Activity
Reports"|178|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
community|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
validation|||||||||178|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
enumeration|District|1500|2000|2500|3000|3500|"Number
of
beneficiari
es
receiving
enumerati
on"|"Activity
Reports"|178|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Second|District|1500|2000|2500|3000|3500|"Number
of
beneficiari
es
validated"|"Activity
Reports"|178|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
paymets of|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
cash transfers|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
to|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
beneficiaries|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Other|District||||||"Amount
of
admnistrat
ive costs
incured"|"Activity
Reports"|179|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Amdinistrativ|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
e Coasts|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Collection Of|District|69|69|72|80|80|"Number
of
complaint
s attended
to"|"Activity
Reports"|179|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
GRM|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Complaint|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Forms|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
(CWAC|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
areas)|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Public Welfare Assistance Scheme||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
identification|District|12|12|12|12|12|"Number
of
vulnerable
perosns
identified"|"Activity
Reports"|179|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
and selection|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of vulnarable|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
individuals|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
using PWAS|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
identification|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
process|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
(Wards)|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Health care|District|50|100|200|250|300|"Number
of persons
supported"|"Activity
Reports"|179|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
support|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Repatriation|District|10|15|20|25|30|"Number
of persons
repatriated"|"Activity
Reports"|179|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of stranded|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
persons|||||||||179|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Primary and|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
secondary|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
education|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
support|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
community|District|200|300|400|500|600|"Number
of
vulnerable
persons
supported"|"Activity
Reports"|180|"Quarterl
y"|Social Welfare|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
vulnerable|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Women and youth empowerment||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Training of|District|13|13|0|0|0|"Number
of
trainings
undertake
n"|"Activity
Reports"|180|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Grievance|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
redress|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
mechanism|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Focal Persons|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Grievance|District|13|13|13|13|13|"Number
of
sensitisati
ons
undertake
n"|"Activity
Reports"|180|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
sensitization|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Collection Of|District|80|80|80|80|80|"Number
of
complaint
s resolved"|"Activity
Reports"|180|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
GRM|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Complaint|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Forms under|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Support|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Women in|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Livelihood|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Savings group|District|12|12|12|12|12|"Number
of saving
groups
formed"|"Activity
Reports"|180|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
formation and|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Sensitizations|||||||||180|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Trainers of|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Trainers|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
training|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
workshop in|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Revised life,|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
sexual|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Reproductive|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Health and|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Business|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Skills|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Community|District|13|13|13|13|13|"Number
of
trainings
undertake
n"|"Activity
Reports"|181|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
based|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
volunteers|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
training in|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
revised life,|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Skills.|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Beneficiary|District|281|0|0|0|0|"Number
of
trainings
undertake
n"|"Activity
Reports"|181|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Conduct|District|13|13|13|13|13|"Number
of
trainings
undertake
n"|"Activity
Reports"|181|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
feedback|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
monitoring|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||181|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Conduct|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
mentorship to|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
SWL|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
beneficiaries|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Payment of|District|281|281|0|0|0|"proportion
of
beneficiari
es
receiving
grants"|"Activity
Reports"|182|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Grants for|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Training of|District|20|25|30|35|40|"Number
of
trainings
undertake
n"|"Activity
Reports"|182|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
women in|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
entrepreneurs|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
hip skills and|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
provision of|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
grants for|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
women Clubs|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Community Self-help programs||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Community|District|4|4|4|4|4|"Number
of
sensitisati
ons
undertake
n"|"Activity
Reports"|182|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
sensitization|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
on community|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
self-projects|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Non formal education||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Refresher|District|20|20|20|25|25|"Number
of
instructors
trained"|"Activity
Reports"|182|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
course for|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
adult literacy|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
instructors|||||||||182|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Revamping|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
and formation|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of literacy|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
classes|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Procure|District|4|4|4|4|4|"Number
of training
material
procured"|"Activity
Reports"|183|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Teaching|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
material|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Food Security Pack||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Provision of|District|1300|1500|1700|1900|2000|"Percentag
e of
beneficiari
es
receiving
FSP"|"Activity
Reports"|183|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
food security|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Pack|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Sensitization|District|11|11|11|11|11|"Number
of
sensitisati
ons
undertake
n"|"Activity
Reports"|183|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
and|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
orientations of|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
stakeholders|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
communities|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
on FSP|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
guidelines|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
community|District|11|11|11|11|11|"Number
of
caseloads
allocated"|"Activity
Reports"|183|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
selection and|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
allocation of|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
caseloads|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
targeting|District|1300|1500|1700|1900|2000|"number of
beneficiari
es"|"Activity
Reports"|183|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
beneficiary|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
households|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
for support,|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Listing,|||||||||183|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Community|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
validation,|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Self-|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
registration|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
and Lottery|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Training of|District|1300|1500|1700|1900|2000|"Number
of
trainings
undertake
n"|"Activity
Reports"|184|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Vulnerable|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
but Viable|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
farmers into|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
farming|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
methods|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Distribution|District|1300|1500|1700|1900|2000|"Proportion
of
beneficiari
es
receiving
inputs"|"Activity
Reports"|184|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
of Inputs|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Monitoring of|District|20|25|30|35|40|"Number
of
monitorin
g activates
undertake
n"|"Activity
Reports"|184|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
crop|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
performance|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Conduct|District|1300|1500|1700|1900|2000|"Number
of
harvests
undertake
n"|"Activity
Reports"|184|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Harvest|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
projection|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Collection of|District|1300|1500|1700|1900|2000|"Amounts
of
collection
s"|"Activity
Reports"|184|"Quarterl
y"|"Community
Development"|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Recoveries|||||||||184|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||185|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Constituency Development Fund||||||||185|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Empowermen|District|200|200|200|200|200|"Number
of
beneficiari
es"|CDF Reports|185|"Quarterl
y"|LA|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
t Grants|||||||||185|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
