project_id|ward|zone|project_name|project_description|sector|project_type|beneficiaries|cdf_application_form_yes_no|wdec_recommendation_yes_no|wdc_minutes_yes_no|zonal_minutes_yes_no|council|province|district|constituency|financial_year|source_url|source_document|retrieval_date
35|Mulamba|Nyamphande|Drilling of water Boreholes at Chipungu Village|Drilling of water boreholes |Water|Water sector|705|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
36|Mulamba|Nyamphande|Borehole at Nyereti Village|Drilling of Borehole|Water|Water sector|98|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
37|Mulamba|Nyamphande|Community layby paying station at Nyamphande community market|Community Layby paying station|Construction|Layby|Nill|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
38|Mulamba|Nyamphande|Borehole drilling at Nyamphande A|Borehole drilling |Water|Water sector|12 households|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
39|Mulamba|Ntiba Ntiba|Drilling of Borehole in Ntiba Ntiba |Borehole drilling |Water|Water sector|12 households|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
39|Rufunsa|Rufunsa|Construction of Incinerator at Rufunsa Rural Health Centre|Construction of Incinerator|Health |Incinerator|4005|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
40|Rufunsa|Chimusanya|Construction of a Science laboratory at Chimusanya Secondary School|Construction of a Science Laboratory|Education|Science Laboratory|1500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
41|Rufunsa|Rufunsa|Construction of a maternity annex at Rufunsa Rural Health Centre|Construction of a Maternity annex|Health |Maternity annex|4050|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
42|Rufunsa|Rufunsa|Construction of recreational hall at Rufunsa Rural Health Centre|Construction of a recreational hall |Health |Recreational Hall|2000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
43|Rufunsa|Chaola|Construction of 1x3 Classroom block at Chaola Primary School|Construction of a 1x3 Classroom Block|Education|Classroom Block |7000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
44|Rufunsa|Chimusanya|Electrification of the Clinic and a Ward Block at Chimusanya Rural Health Post |Electrification of the clinic and a ward block|Health |Electrification|5000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
45|Rufunsa|Mwanduba|Construction of a health Post at Mwanduba|Construction of a Health post|Health |Health Post |7000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
46|Rufunsa|Rufunsa|Drilling of water borehole at Sambani Village|Drilling of a water Borehole|Water|Water sector|60|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
47|Chamulimba|Kazemba|Waterborne sanitation System at Kazemba Primary School|Waterborne sanitation system|Water|Water sector|5000|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
48|Chamulimba|Kazemba|Rehabilitation of 1x4 Classroom Block and inclusion of a veranda at Kazemba Primary School|Rehabilitation of 1x4 Ckassroom block and inclusion of a veranda|Education|School|5000|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
49|Chamulimba|Kabulanshinshi|Construction of 2 teachers' houses at Kabulanshinshi Primary School|Construction of 2 teachers' houses|Education|Staff houses|2000|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
50|Chamulimba|Kabulanshinshi|Construction of 1x3 classroom block at Kabulanshinshi Primary School|Construction of 1x3 classroom block|Education|Classroom Block |2000|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
51|Chamulimba|Chamulimba|Construction of a Police post and Police houses in Chamulimba|Construction of Police Post and Police Houses|Police|Police Post/houses|1000|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
52|Chamulimba|Chamulimba|Construction of a maternity wing at Chamulimba|Construction of a maternity Wing|Health |Maternity wing|700|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
53|Chamulimba|Chibengelele|Construction of staff houses at Chibengelele Primary School|Construction of staff houses |Education|Staff Houses|2700|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
54|Chamulimba|Chibengelele|Construction of Ablution block at Chibengelele Market|Construction of Ablution Block|Water|Water and Sanitation|1200|Yes|Yes|No|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
55|Chamulimba|Kazemba|Connstruction of patients waiting shelter at Chifundo Rural Health Post|Construction of patients waitng shelter|Health |Patients waiting shelter|3444|Yes|Yes|No|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
56|Shikabeta|Lubalashi|Construction of 1x2 Classroom Block at Lubalashi|Construction of 1x2 classrooom Block|Education|Classroom Block |400|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
57|Shikabeta|Nyakantingi|Construction of a semi detached staff house at Nyakantingi|Construction of a semi detached staff house|Education|Staff house|200|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
58|Shikabeta|Shikabeta|Construction of a boys' dormitory at Shikabeta Combined School|Construction of a boys' dormitory|Education|Dormitory|100|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
59|Shikabeta|Lunsemfwa|Construction of a Staff House at Kacenjela Community School|Construction of a staff house |Education|Staff House|520|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
60|Shikabeta|Lunsemfwa|Drilling of a Borehole at Kapanda Community|Drilling of a Borehole|Water|Water sector|Nill|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
61|Shikabeta|Chomba|Drilling of Borehole at Chomba|Drilling of Borehole|Water|Water sector|70|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
62|Namanongo|Ndubulula|Construction of staff house and a mother's shelter at Ndubulula Health Post|Construction of a staff house and mother's shelter|Health |Staff House and Mother's Shelter|2500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
63|Namanongo|Tengama|Construction of a Mother's shelter at Chipungu Health Post|Construction of a mather's shelter|Health |Mother's shelter|3000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
